,AÑO,CONSECUTIO,INSCRIPCION,LOCALIDAD,TIPO,COD TIPO,NOMBRE,General,Nutrición y Salubridad,Ambientes Adecuados y Seguros,Proceso Pedagógico,Talento Humano,Proceso Administrativo,Segmento
11736,2019,1,14724,SUBA,PRIVADO,PRI, GIMNASIO BET EL,0.334151351,0.573333333,0.365615616,0.078947368,0.355555556,0.214285714,Bajo
11737,2019,2,19391,SAN CRISTOBAL,PRIVADO,PRI, JARDIN INFANTIL  PEQUEÑOS VALIENTES,0.303047619,0.359307359,0.332777778,0.142105263,0.261111111,0.414285714,Medio
11738,2019,3,Q525,SAN CRISTOBAL,PRIVADO,,JARDIN INFANTIL CREATIVAMENTE,0.156534694,0.084155844,0.35244898,0,0.161904762,0.057142857,Medio
11739,2019,4,19587,SUBA,PRIVADO,PRI, KINDER GARDEN COOL KIDS,0.310204906,0.501298701,0.342508418,0.201754386,0.138888889,0.271428571,Medio
11740,2019,5,2044,SUBA,PRIVADO,PRI, JARDIN INFANTIL EL RINCON DE POOH,0.347430894,0.503030303,0.415325203,0.192982456,0.116666667,0.414285714,Medio
11741,2019,6,19913,TUNJUELITO,PRIVADO,PRI, J I SEMILLAS DEL SABER,0.318188172,0.454545455,0.533960573,0,0.133333333,0.271428571,Medio
11742,2019,7,17780,ENGATIVA,PRIVADO,PRI,JARDÍN INFANTIL HUELLAS DE COLORES,0.400929384,0.293333333,0.449732869,0.445614035,0.392063492,0.414285714,Bajo
11743,2019,8,19436,KENNEDY,PRIVADO,PRI, CENTRO DE ESTIMULACIÓN SAN NICOLÁS,0.681635531,0.578181818,0.551800977,0.859649123,0.698412698,0.862857143,Bajo
11744,2019,9,19825,FONTIBON,PRIVADO,PRI, CENTRO EDUCATIVO DE DESARROLLO INTEGRAL BANIES KIDS JUNIOR,0.229690476,0.32034632,0.370714286,0,0.266666667,0.057142857,Medio
11745,2019,10,19867,FONTIBON,PRIVADO,PRI, CENTRO EDUCATIVO DE DESARROLLO INTEGRAL BABIES KIDS JUNIOR,0.247277778,0.36969697,0.409814815,0,0.233333333,0.057142857,Medio
11746,2019,11,19939,KENNEDY,PRIVADO,PRI, COLEGIO INFANTIL BILINGÜE DISCOVERING THE WORLD,0.241364742,0.324675325,0.306453901,0,0.133333333,0.414285714,Medio
11747,2019,12,19837,USAQUEN,PRIVADO,PRI, JARDÍN INFANTIL PIMPONES,0.487900304,0.465454545,0.43414387,0.466666667,0.574603175,0.574285714,Bajo
11748,2019,13,19840,SUBA,PRIVADO,PRI, JARDIN INFANTIL BILINGUE EL REINO DW LOS NIÑOS,0.18167193,0.43030303,0.256684211,0,0.066666667,0,Medio
11749,2019,14,19847,KENNEDY,PRIVADO,PRI, JARDÍN INFANTIL SMART KIDS,0.067075569,0,0.195807453,0,0.055555556,0,Medio
11750,2019,15,19888,KENNEDY,PRIVADO,PRI, JARDÍN INFANTIL PALABRITAS DE EMANUEL,0.453296167,0,0.64670151,0.677192982,0.484126984,0.414285714,Bajo
11751,2019,16,20000,SUBA,PRIVADO,PRI, KINDERGARTEN HAKUNA MATATA,0.220734127,0.219047619,0.445304233,0,0.206349206,0.057142857,Medio
11752,2019,17,15929,USAQUEN,PRIVADO,PRI,KINDERGARDEN DREAMHOME,0.738833333,0.643636364,0.830555556,0.859649123,0.695555556,0.574285714,Bajo
11753,2019,18,16470,USAQUEN,PRIVADO,PRI,JARDÍN INFANTIL EUREKA,0.639390476,0.812987013,0.447222222,0.666666667,0.616666667,0.765714286,Bajo
11754,2019,19,18651,FONTIBON,PRIVADO,PRI,GIMNASIO MI MUNDO ES BRILLANTE,0.716693162,0.717171717,0.857051282,0.670175439,0.744444444,0.448571429,Bajo
11755,2019,20,19822,USME,PRIVADO,PRI,GIMNASIO PEDAGÓGICO ANGÉLICA MARIA,0.170047619,0.333333333,0.281904762,0,0.080952381,0,Medio
11756,2019,21,1784,ANTONIO NARIÑO,PRIVADO,PRI,JARDIN INFANTIL SAN LUCAS PRESCHOOL,0.564624892,0.809090909,0.531868687,0.368421053,0.629761905,0.447142857,Bajo
11757,2019,22,2248,TUNJUELITO,PRIVADO,PRI,CENTRO DE ATENCIÓN INFANTIL CRECER,0.594919048,0.569090909,0.778333333,0.594736842,0.317460317,0.54,Bajo
11758,2019,23,16543,SUBA,PRIVADO,PRI,JARDIN INFANTIL BILINGUE E BOSQUE SEDE A,0.607757143,0.664415584,0.501190476,0.659649123,0.620634921,0.662857143,Bajo
11759,2019,24,19609,ANTONIO NARIÑO,PRIVADO,PRI,SAN LUCAS PRESCHOOL Y SU ATELIER,0.497151587,0.729292929,0.407142857,0.368421053,0.546428571,0.447142857,Bajo
11760,2019,25,19785,TUNJUELITO,PRIVADO,PRI,GIMNASIO MODERNO HOWARD GARNER,0.226485714,0.338181818,0.297619048,0,0.133333333,0.305714286,Medio
11761,2019,26,1509,RAFAEL URIBE URIBE,PRIVADO,PRI, JARDIN INFANTIL NIÑOS PARA LA PAZ,0.375766667,0.575757576,0.377222222,0,0.455555556,0.482857143,Bajo
11762,2019,27,Q526,KENNEDY,PRIVADO,,LICEO INTEGRAL FORJADORES DE SABERES,0.204761905,0.096969697,0.297777778,0,0.187301587,0.471428571,Medio
11763,2019,28,1713,CIUDAD BOLIVAR,PRIVADO,PRI,JARDIN INFANTIL SANTO DOMINGO DE GUZMAN,0.489496485,0.769033189,0.392959184,0.368421053,0.46547619,0.447142857,Bajo
11764,2019,29,16300,TEUSAQUILLO,PRIVADO,PRI,HADAS Y DUENDES GIMNASIO PEDAGOGICO,0.517740097,0.451255411,0.724223602,0.278947368,0.402645503,0.627142857,Bajo
11765,2019,30,19496,SUBA,PRIVADO,PRI,JARDIN INFANTIL MIS PEQUEÑOS EXPORADORES,0.553686724,0.588888889,0.456818182,0.929824561,0.217460317,0.555714286,Bajo
11766,2019,31,Q528,KENNEDY,PRIVADO,,JARDÍN PEDAGÓGICO PEQUEÑOS EXPLORADORES SEDE B,0.557395445,0.676883117,0.387826087,0.673684211,0.622222222,0.505714286,Bajo
11767,2019,32,RQ201900877,BOSA,PRIVADO,,J I SOL Y LUNA,0.236944981,0.400865801,0.213626126,0.035087719,0.133333333,0.414285714,Medio
11768,2019,33,2169,SUBA,PRIVADO,PRI,ANA DE SUBA ,0.384322222,0.607272727,0.20462963,0.289473684,0.288888889,0.65,Bajo
11769,2019,34,18070,ENGATIVA,PRIVADO,PRI,JARDÍN INFANTIL MAGIC WORLD,0.27258804,0.083116883,0.481007752,0.078947368,0.3,0.357142857,Medio
11770,2019,35,19654,KENNEDY,PRIVADO,PRI,JARDÍN INFANTIL CASITA MONTESSORI,0.424237681,0.44,0.321014493,0.578947368,0.388888889,0.448571429,Bajo
11771,2019,36,2155,TEUSAQUILLO,PRIVADO,PRI, PÁRVULOS CENTRO PSICOPEDAGOGICO DE CREATIVIDAD Y EXPRESIÓN SAS,0.403593043,0.2995671,0.593617021,0.131578947,0.564021164,0.357142857,Bajo
11772,2019,37,15959,KENNEDY,PRIVADO,PRI, JARDÍN INFANTIL LICEO MUNDO CREATIVO,0.339714286,0.277922078,0.405793651,0.157894737,0.405555556,0.471428571,Medio
11773,2019,38,19699,ENGATIVA,PRIVADO,PRI, GRANDES CREATIVOS,0.230261905,0.088311688,0.358333333,0.078947368,0.255555556,0.357142857,Medio
11774,2019,39,2080,USAQUEN,PRIVADO,PRI, JARDÍN INFANTIL Y PREESCOLAR ÁBACO,0.70124234,0.817142857,0.58321256,0.642105263,0.760714286,0.788571429,Alto
11775,2019,40,4869,USAQUEN,PRIVADO,PRI, JARDÍN MALAQUITA,0.793370111,0.818181818,0.775455927,0.8,0.788888889,0.788571429,Alto
11776,2019,41,6909,USME,PRIVADO,PRI, KIERKEGAARDEN SCHOOL,0.419509524,0.687272727,0.495,0.331578947,0.325396825,0.057142857,Bajo
11777,2019,42,19063,USME,PRIVADO,PRI, GIMNASIO GOTAS DE BENDICION,0.501625108,0.40987013,0.605194805,0.433333333,0.531746032,0.484285714,Bajo
11778,2019,43,19661,SUBA,PRIVADO,PRI, LE MONT SAINT MICHEL SEDEB,0.190484321,0.381818182,0.247804878,0,0.214285714,0,Medio
11779,2019,44,20002,SUBA,PRIVADO,PRI, KINDERGARTEN MI MUNDO MAGICO,0.188562882,0.133910534,0.33034188,0,0.066666667,0.357142857,Medio
11780,2019,45,20050,KENNEDY,PRIVADO,PRI, JARDÍN INFANTIL LUZ Y VIDA,0.237,0.3,0.326666667,0.236842105,0.133333333,0.057142857,Medio
11781,2019,46,218,FONTIBON,PRIVADO,PRI, LICEO PEQUEÑOS QUERUBINES,0.631022222,0.731313131,0.676190476,0.389473684,0.86984127,0.448571429,Bajo
11782,2019,47,1230,FONTIBON,PRIVADO,PRI, J I SAN BARTOLOME,1,1,1,1,1,1,Alto
11783,2019,48,16111,USAQUEN,PRIVADO,PRI, BUMBLE BEE CHICO,0.787220616,0.85038961,0.770267131,0.901754386,0.582142857,0.788571429,Alto
11784,2019,49,Q530,KENNEDY,PRIVADO,, GOTITAS DE ARCO IRIS,0.13114387,0,0.354924012,0,0.111111111,0.057142857,Medio
11785,2019,50,19520,SUBA,PRIVADO,PRI, JARDIN INFANTIL LOS CIRUELOS SEDE CAMPIÑA,0.380555556,0.628282828,0.303333333,0.157894737,0.422222222,0.414285714,Bajo
11786,2019,51,20056,SAN CRISTOBAL,PRIVADO,PRI, JARDÍN INFANTIL MIS PRIMEROS PASITOS EN UN MUNDO ECOLÓGICO,0.190981818,0.294545455,0.338383838,0,0.111111111,0.057142857,Medio
11787,2019,52,18445,USAQUEN,PRIVADO,PRI, JARDÍN INFANTIL CHUPETES Y GARABATOS,0.736908711,0.808484848,0.767886179,0.707017544,0.580952381,0.765714286,Bajo
11788,2019,53,19942,ENGATIVA,PRIVADO,PRI, GIMNASIO PEDAGÓGICO CARRUSEL DE ILUSIONES,0.078135135,0,0.21045045,0.078947368,0,0,Medio
11789,2019,54,20059,USAQUEN,PRIVADO,PRI, CORPORACIÓN COLOMBIANS CHILDREN,0.649968908,0.725714286,0.706372549,0.498245614,0.622222222,0.645714286,Bajo
11790,2019,55,1461,USAQUEN,PRIVADO,PRI, JARDÍN INFANTIL AÑOS MÁGICOS,0.551719823,0.694545455,0.516843854,0.429824561,0.566666667,0.551428571,Bajo
11791,2019,56,18775,CIUDAD BOLIVAR,PRIVADO,PRI, TRAVESURAS DE CAMILA,0.292444444,0.365656566,0.425238095,0.131578947,0.142857143,0.271428571,Medio
11792,2019,57,19492,CIUDAD BOLIVAR,PRIVADO,PRI, LICEO PEDAGOGICO GENIOS DEL FUTURO 2,0.233989648,0.274458874,0.285362319,0.263157895,0,0.271428571,Medio
11793,2019,58,264,USAQUEN,PRIVADO,PRI, ASPAEN MATERNAL Y PREESCOLAR ATAVANZA,0.744387768,0.671948052,0.668043884,0.845614035,0.833862434,0.788571429,Bajo
11794,2019,59,2123,RAFAEL URIBE URIBE,PRIVADO,PRI, JARDIN PSICOPEDAGÓGICO MIS ANGELITOS LINDOS,0.776095238,0.893333333,0.635873016,0.964912281,0.744444444,0.67,Bajo
11795,2019,60,19279,KENNEDY,PRIVADO,PRI, JARDÍN INFANTIL PSICOPEDAGÓGICO SHALOM SEDE B,0.688021212,0.898181818,0.686515152,0.589473684,0.477777778,0.72,Bajo
11796,2019,61,19897,SUBA,PRIVADO,PRI, SAINT MARY NURSERY Y PRESCHOOL S.A.S. SEDE SALITRE,0.361509524,0.388398268,0.452777778,0.184210526,0.30952381,0.42,Medio
11797,2019,62,932,USAQUEN,PRIVADO,PRI, JARDÍN INFANTIL MENTES CONSTRUCTIVAS,0.477435327,0.561212121,0.506339978,0.324561404,0.4,0.574285714,Bajo
11798,2019,63,14455,FONTIBON,PUBLICO,CC, J I FONTIBON CENTRO,0.888532553,0.845913682,0.94787234,0.936842105,0.741798942,0.92,Alto
11799,2019,64,14514,SUBA,PUBLICO,CC, JARDIN INFANTIL DULCE MARIA,0.870825641,0.838787879,0.856196581,0.833333333,0.916666667,0.954285714,Alto
11800,2019,65,16056,USAQUEN,PRIVADO,PRI,SAINT SIMON ECOLÓGICO,0.430784645,0.46918536,0.433403361,0.50877193,0.26984127,0.431428571,Bajo
11801,2019,66,18413,SUBA,PRIVADO,PRI, LICEO INFANTIL GENIUS SCHOOL,0.764623077,0.762424242,0.71474359,0.859649123,0.722222222,0.791428571,Alto
11802,2019,67,20110,FONTIBON,PRIVADO,PRI,JARDIN PSICOPEDAGOGICO MONTESSORI EL MUNDO DE LULU ,0.3911,0.621818182,0.502777778,0.192982456,0.306666667,0.148571429,Bajo
11803,2019,68,RQ202022019,KENNEDY,PRIVADO,, JARDÍN INFANTIL APRENDIENDO A CRECER ABC ,0.161832816,0,0.29055383,0,0.111111111,0.414285714,Medio
11804,2019,69,380,USME,PRIVADO,PRI, JARDIN INFANTIL MIS PRIMEROS TRAZOS ,0.797299248,0.801212121,0.759473684,0.894736842,0.741269841,0.8,Alto
11805,2019,70,803,SUBA,PRIVADO,PRI, FUNDACION NIÑ@S BOGOTA,0.131073643,0.061471861,0.168023256,0,0.114285714,0.357142857,Medio
11806,2019,71,1863,CHAPINERO,PRIVADO,PRI, BABIDI BU DESCUBRE TU MUNDO,0.643944444,0.488600289,0.717857143,0.789473684,0.487301587,0.7,Bajo
11807,2019,72,15497,SUBA,PRIVADO,PRI, HOGAR MIS PEQUEÑOS ANGELITOS DOS,0.355688889,0.591919192,0.463333333,0,0.211111111,0.391428571,Bajo
11808,2019,73,18790,USAQUEN,PRIVADO,PRI, JARDÍN INFANTIL AULA KIDS,0.632538716,0.761038961,0.379986197,0.638596491,0.849206349,0.731428571,Alto
11809,2019,74,Q534,KENNEDY,PRIVADO,, MIS ADORABLES TRAVESURAS KINDERGARTEN,0.209267021,0.265454545,0.366223404,0,0.166666667,0.114285714,Medio
11810,2019,75,634,BOSA,PUBLICO,JSDIS,J I LAURELES ,0.928249206,0.860779221,0.933333333,1,0.901851852,0.954285714,Alto
11811,2019,76,15206,KENNEDY,PRIVADO,PRI, GUARDERÍA Y PREJARDÍN SUEÑOS Y SONRISAS,0.446901416,0.292727273,0.479163449,0.3,0.53968254,0.72,Bajo
11812,2019,77,385,KENNEDY,PRIVADO,PRI, GIMNASIO INFANTIL CREARTE,0.898227778,0.907878788,0.796759259,0.985964912,0.955555556,0.92,Alto
11813,2019,78,672,BOSA,PUBLICO,JSDIS, J I ANTONIA SANTOS,0.859450733,0.876363636,0.799145299,0.915789474,0.827380952,0.92,Alto
11814,2019,79,7091,BOSA,PUBLICO,CC, J I ACEPTA EL CAMBIO,0.966441026,0.963636364,0.974358974,0.964912281,1,0.92,Alto
11815,2019,80,7829,KENNEDY,PRIVADO,PRI, CENTRO DE ESTIMULACIÓN INTEGRAL LA PEQUEÑA LILY,0.717550912,0.708051948,0.740407801,0.638596491,0.73015873,0.777142857,Bajo
11816,2019,81,14359,BOSA,PUBLICO,CC, J I RAICES,0.939772222,0.878787879,0.993055556,1,0.864814815,0.92,Alto
11817,2019,82,627,SANTA FE,PUBLICO,JSDIS, JARDÍN INFANTIL LA PERSEVERANCIA,0.815328938,0.762077922,0.716636142,0.950877193,0.821428571,0.92,Alto
11818,2019,83,628,SANTA FE,PUBLICO,JSDIS, CASA DE PENSAMIENTO INTERCULTURAL SHIMYAC,0.814457649,0.660606061,0.774604863,0.950877193,0.86984127,0.897142857,Alto
11819,2019,84,16512,USAQUEN,PRIVADO,PRI, GIMNASIO PEDAGÓGICO JIREH,0.591847974,0.6604329,0.701342452,0.324561404,0.680555556,0.517142857,Bajo
11820,2019,85,17010,BOSA,PUBLICO,JSDIS, ACUNAR LA ESTACION DE LA ALEGRIA,0.85892795,0.80987013,0.856521739,0.964912281,0.744444444,0.92,Alto
11821,2019,86,19114,ENGATIVA,PRIVADO,PRI, JARDÍN INFANTIL MI MUNDO AZUL,0.326493773,0.342337662,0.482661783,0.178947368,0.282539683,0.214285714,Medio
11822,2019,87,Q536,BOSA,PRIVADO,, J I PASITOS DE GIGANTE,0.143159911,0.156017316,0.232945736,0,0.206349206,0.057142857,Medio
11823,2019,88,Q537,BOSA,PRIVADO,, J I MICKEY MOUSE ZDC,0.270408425,0.266666667,0.577075702,0,0.150793651,0.114285714,Medio
11824,2019,89,289,USAQUEN,PRIVADO,PRI, MI MUNDO CREATIVO,0.592972727,0.767272727,0.485909091,0.571929825,0.595555556,0.574285714,Bajo
11825,2019,90,16155,CIUDAD BOLIVAR,PRIVADO,PRI, OKI DOKI,0.627276423,0.606060606,0.544651568,0.778947368,0.776984127,0.471428571,Bajo
11826,2019,91,17642,SUBA,PRIVADO,PRI, JARDIN PEDAGOGICO HUELLAS COLOMBIANAS,0.34188396,0.535454545,0.372660819,0.421052632,0.161904762,0.057142857,Bajo
11827,2019,92,1068,SUBA,PRIVADO,PRI, JARDIN INFANTIL Y GUARDERIA LA CASIRA DE MICKEY MOUSE,0.638704762,0.671688312,0.655555556,0.561403509,0.533333333,0.768571429,Bajo
11828,2019,93,19607,KENNEDY,PRIVADO,PRI, EL TESORO DEL SABER KIDS SAS,0.656354762,0.738181818,0.571626984,0.666666667,0.833333333,0.505714286,Bajo
11829,2019,94,RQ200302019,TUNJUELITO,PRIVADO,, GUARDERÍA PLAYGROUND,0.088758333,0.021818182,0.252083333,0,0.055555556,0,Medio
11830,2019,95,16886,RAFAEL URIBE URIBE,PUBLICO,JSDIS, JARDIN ACUNAR SUEÑOS Y SONRISAS,0.847961905,0.762857143,0.780833333,1,0.847222222,0.92,Alto
11831,2019,96,18903,BOSA,PRIVADO,PRI, J I PEQUEXPOLRADORES,0.443969173,0.512727273,0.466436926,0.50877193,0.19047619,0.471428571,Bajo
11832,2019,97,283,KENNEDY,PRIVADO,PRI, ABC GUARDERÍA Y CENTRO DE ESTIMULACIÓN INTEGRAL,0.590566667,0.752727273,0.425,0.666666667,0.666666667,0.505714286,Bajo
11833,2019,98,6774,KENNEDY,PRIVADO,PRI, KINDER GARDEN MAMÁ CANGURO,0.525866667,0.592727273,0.46,0.414035088,0.666666667,0.562857143,Bajo
11834,2019,99,18605,USME,PRIVADO,PRI, GIMNASIO INFANTIL PEQUEÑOS EXPLORADORES,0.611477193,0.692121212,0.620701754,0.842105263,0.5,0.271428571,Bajo
11835,2019,100,19813,KENNEDY,PRIVADO,PRI, C.D.I. HARVARD KIDS CONSTRUYENDO TALENTOS,0.301784694,0.273766234,0.394710884,0.042105263,0.380952381,0.414285714,Medio
11836,2019,101,RQ359552019,SUBA,PRIVADO,," FUNDACILON COLOMBIA CHIQUITA. "" FUNDACOLCHI """,0.104796748,0.096969697,0.278211382,0,0,0,Medio
11837,2019,102,827,ENGATIVA,PRIVADO,PRI, CENTRO ESTIMULACIÓN INICIAL MIS PEQUEÑOS ENANITOS,0.473372222,0.419393939,0.518796296,0.477192982,0.666666667,0.248571429,Bajo
11838,2019,103,2173,USAQUEN,PRIVADO,PRI, GIMNASIO INFANTIL PLEYADE,0.696471429,0.876363636,0.466904762,0.631578947,0.866666667,0.811428571,Alto
11839,2019,104,4009,KENNEDY,PRIVADO,PRI, TALLER CREATIVO CARRUSEL MÁGICO,0.329181882,0.191515152,0.4621777,0.271929825,0.226190476,0.448571429,Medio
11840,2019,105,15891,BOSA,PRIVADO,PRI,LICEO INFANTIL MUNDO CREATIVO ,0.622413589,0.699090909,0.597473868,0.666666667,0.746031746,0.362857143,Bajo
11841,2019,106,15912,SUBA,PRIVADO,PRI, JARDIN INFANTIL HOPES DREAMS KINDERGARTEN SAS,0.711914759,0.675324675,0.644012158,0.859649123,0.661375661,0.768571429,Bajo
11842,2019,107,19637,SUBA,PRIVADO,PRI, ORIGAMI MAZUREN,0.536657143,0.467272727,0.569285714,0.810526316,0.34047619,0.414285714,Bajo
11843,2019,108,RQ753552019,ENGATIVA,PRIVADO,, NUESTRO MUNDO MAGICO,0.262261672,0.336969697,0.523919861,0,0.206349206,0,Medio
11844,2019,109,14460,SUBA,PRIVADO,PRI, CENTRO DE DESARROLLO INFANTIL UN MUNDO PARA CRECER,0.433444444,0.705050505,0.423333333,0.131578947,0.455555556,0.414285714,Bajo
11845,2019,110,15778,SUBA,PRIVADO,PRI, JARDIN IBFANTIL BUGS BUNNY,0.401373016,0.381818182,0.398703704,0.324561404,0.520634921,0.414285714,Bajo
11846,2019,111,16055,KENNEDY,PRIVADO,PRI, JARDÍN INFANTIL ESTIMULACIÓN TEMPRANA,0.5395,0.551515152,0.471666667,0.775438596,0.422222222,0.471428571,Bajo
11847,2019,112,19887,KENNEDY,PRIVADO,PRI, UNIVERSAL KIDS KINDERGARTEN,0.725876984,0.636623377,0.678955026,0.796491228,0.733333333,0.862857143,Bajo
11848,2019,113,8632,SUBA,PRIVADO,PRI, CHIQUITINES DEL MIRADOR,0.787745238,0.86030303,0.771428571,0.649122807,0.819444444,0.862857143,Alto
11849,2019,114,18726,USAQUEN,PRIVADO,PRI,MI ATELIE,0.509941201,0.546320346,0.656438923,0.305263158,0.517460317,0.408571429,Bajo
11850,2019,115,2571,BOSA,PRIVADO,PRI, JI SAN SIMON STOCK,0.754722222,0.527272727,0.926851852,0.561403509,0.866666667,0.885714286,Bajo
11851,2019,116,14546,KENNEDY,PRIVADO,PRI, GIMNASIO INFANTIL LA SABIDURÍA,0.718070267,0.713939394,0.729599303,0.477192982,0.785714286,0.954285714,Alto
11852,2019,117,18105,USAQUEN,PRIVADO,PRI, SMART KIDS KINDERGARDEN,0.538454374,0.48987013,0.445387597,0.614035088,0.466666667,0.788571429,Bajo
