,AÑO,CONSECUTIO,INSCRIPCION,LOCALIDAD,TIPO,COD TIPO,NOMBRE,General,Nutrición y Salubridad,Ambientes Adecuados y Seguros,Proceso Pedagógico,Talento Humano,Proceso Administrativo,Segmento
11736,2019,1,14724,SUBA,PRIVADO,PRI, GIMNASIO BET EL,"0,3341513514","0,5733333333","0,3656156156","0,07894736842","0,3555555556","0,2142857143",Bajo
11737,2019,2,19391,SAN CRISTOBAL,PRIVADO,PRI, JARDIN INFANTIL  PEQUEÑOS VALIENTES,"0,303047619","0,3593073593","0,3327777778","0,1421052632","0,2611111111","0,4142857143",Medio
11738,2019,3,Q525,SAN CRISTOBAL,PRIVADO,,JARDIN INFANTIL CREATIVAMENTE,"0,1565346939","0,08415584416","0,3524489796",0,"0,1619047619","0,05714285714",Medio
11739,2019,4,19587,SUBA,PRIVADO,PRI, KINDER GARDEN COOL KIDS,"0,3102049062","0,5012987013","0,3425084175","0,201754386","0,1388888889","0,2714285714",Medio
11740,2019,5,2044,SUBA,PRIVADO,PRI, JARDIN INFANTIL EL RINCON DE POOH,"0,3474308943","0,503030303","0,4153252033","0,1929824561","0,1166666667","0,4142857143",Medio
11741,2019,6,19913,TUNJUELITO,PRIVADO,PRI, J I SEMILLAS DEL SABER,"0,318188172","0,4545454545","0,5339605735",0,"0,1333333333","0,2714285714",Medio
11742,2019,7,17780,ENGATIVA,PRIVADO,PRI,JARDÍN INFANTIL HUELLAS DE COLORES,"0,4009293844","0,2933333333","0,4497328688","0,4456140351","0,3920634921","0,4142857143",Bajo
11743,2019,8,19436,KENNEDY,PRIVADO,PRI, CENTRO DE ESTIMULACIÓN SAN NICOLÁS,"0,6816355311","0,5781818182","0,5518009768","0,8596491228","0,6984126984","0,8628571429",Bajo
11744,2019,9,19825,FONTIBON,PRIVADO,PRI, CENTRO EDUCATIVO DE DESARROLLO INTEGRAL BANIES KIDS JUNIOR,"0,2296904762","0,3203463203","0,3707142857",0,"0,2666666667","0,05714285714",Medio
11745,2019,10,19867,FONTIBON,PRIVADO,PRI, CENTRO EDUCATIVO DE DESARROLLO INTEGRAL BABIES KIDS JUNIOR,"0,2472777778","0,3696969697","0,4098148148",0,"0,2333333333","0,05714285714",Medio
11746,2019,11,19939,KENNEDY,PRIVADO,PRI, COLEGIO INFANTIL BILINGÜE DISCOVERING THE WORLD,"0,2413647416","0,3246753247","0,3064539007",0,"0,1333333333","0,4142857143",Medio
11747,2019,12,19837,USAQUEN,PRIVADO,PRI, JARDÍN INFANTIL PIMPONES,"0,487900304","0,4654545455","0,4341438703","0,4666666667","0,5746031746","0,5742857143",Bajo
11748,2019,13,19840,SUBA,PRIVADO,PRI, JARDIN INFANTIL BILINGUE EL REINO DW LOS NIÑOS,"0,1816719298","0,4303030303","0,2566842105",0,"0,06666666667",0,Medio
11749,2019,14,19847,KENNEDY,PRIVADO,PRI, JARDÍN INFANTIL SMART KIDS,"0,06707556936",0,"0,1958074534",0,"0,05555555556",0,Medio
11750,2019,15,19888,KENNEDY,PRIVADO,PRI, JARDÍN INFANTIL PALABRITAS DE EMANUEL,"0,4532961672",0,"0,6467015099","0,6771929825","0,4841269841","0,4142857143",Bajo
11751,2019,16,20000,SUBA,PRIVADO,PRI, KINDERGARTEN HAKUNA MATATA,"0,220734127","0,219047619","0,4453042328",0,"0,2063492063","0,05714285714",Medio
11752,2019,17,15929,USAQUEN,PRIVADO,PRI,KINDERGARDEN DREAMHOME,"0,7388333333","0,6436363636","0,8305555556","0,8596491228","0,6955555556","0,5742857143",Bajo
11753,2019,18,16470,USAQUEN,PRIVADO,PRI,JARDÍN INFANTIL EUREKA,"0,6393904762","0,812987013","0,4472222222","0,6666666667","0,6166666667","0,7657142857",Bajo
11754,2019,19,18651,FONTIBON,PRIVADO,PRI,GIMNASIO MI MUNDO ES BRILLANTE,"0,7166931624","0,7171717172","0,8570512821","0,6701754386","0,7444444444","0,4485714286",Bajo
11755,2019,20,19822,USME,PRIVADO,PRI,GIMNASIO PEDAGÓGICO ANGÉLICA MARIA,"0,170047619","0,3333333333","0,2819047619",0,"0,08095238095",0,Medio
11756,2019,21,1784,ANTONIO NARIÑO,PRIVADO,PRI,JARDIN INFANTIL SAN LUCAS PRESCHOOL,"0,5646248918","0,8090909091","0,5318686869","0,3684210526","0,6297619048","0,4471428571",Bajo
11757,2019,22,2248,TUNJUELITO,PRIVADO,PRI,CENTRO DE ATENCIÓN INFANTIL CRECER,"0,5949190476","0,5690909091","0,7783333333","0,5947368421","0,3174603175","0,54",Bajo
11758,2019,23,16543,SUBA,PRIVADO,PRI,JARDIN INFANTIL BILINGUE E BOSQUE SEDE A,"0,6077571429","0,6644155844","0,5011904762","0,6596491228","0,6206349206","0,6628571429",Bajo
11759,2019,24,19609,ANTONIO NARIÑO,PRIVADO,PRI,SAN LUCAS PRESCHOOL Y SU ATELIER,"0,4971515873","0,7292929293","0,4071428571","0,3684210526","0,5464285714","0,4471428571",Bajo
11760,2019,25,19785,TUNJUELITO,PRIVADO,PRI,GIMNASIO MODERNO HOWARD GARNER,"0,2264857143","0,3381818182","0,2976190476",0,"0,1333333333","0,3057142857",Medio
11761,2019,26,1509,RAFAEL URIBE URIBE,PRIVADO,PRI, JARDIN INFANTIL NIÑOS PARA LA PAZ,"0,3757666667","0,5757575758","0,3772222222",0,"0,4555555556","0,4828571429",Bajo
11762,2019,27,Q526,KENNEDY,PRIVADO,,LICEO INTEGRAL FORJADORES DE SABERES,"0,2047619048","0,09696969697","0,2977777778",0,"0,1873015873","0,4714285714",Medio
11763,2019,28,1713,CIUDAD BOLIVAR,PRIVADO,PRI,JARDIN INFANTIL SANTO DOMINGO DE GUZMAN,"0,4894964853","0,769033189","0,3929591837","0,3684210526","0,4654761905","0,4471428571",Bajo
11764,2019,29,16300,TEUSAQUILLO,PRIVADO,PRI,HADAS Y DUENDES GIMNASIO PEDAGOGICO,"0,5177400966","0,4512554113","0,7242236025","0,2789473684","0,4026455026","0,6271428571",Bajo
11765,2019,30,19496,SUBA,PRIVADO,PRI,JARDIN INFANTIL MIS PEQUEÑOS EXPORADORES,"0,5536867244","0,5888888889","0,4568181818","0,9298245614","0,2174603175","0,5557142857",Bajo
